created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-06-24T16:15:10-03:00,1,19.09000,721.26001,197,47.45708,,2646.00000,2751.27515,,,,
2024-06-24T16:15:41-03:00,2,19.09000,721.26001,195,47.36400,,2644.00000,2751.36108,,,,
2024-06-24T16:16:12-03:00,3,19.08000,721.25000,199,47.10307,,2644.00000,2751.43970,,,,
2024-06-24T16:16:43-03:00,4,19.08000,721.23999,196,46.99168,,2645.00000,2751.50488,,,,
2024-06-24T16:17:14-03:00,5,19.07000,721.23999,196,46.84977,,2644.00000,2751.54932,,,,
2024-06-24T16:17:45-03:00,6,19.07000,721.22998,197,46.61784,,2649.00000,2751.59424,,,,
2024-06-24T16:18:16-03:00,7,19.06000,721.22998,196,46.46372,,2642.00000,2751.68994,,,,
2024-06-24T16:18:47-03:00,8,19.05000,721.21002,194,46.29435,,2643.00000,2751.80273,,,,
2024-06-24T16:19:18-03:00,9,19.05000,721.21997,195,46.14328,,2654.00000,2751.76709,,,,
2024-06-24T16:19:49-03:00,10,19.05000,721.21997,194,45.95865,,2644.00000,2751.71436,,,,
2024-06-24T16:20:20-03:00,11,19.05000,721.21997,193,45.82284,,2645.00000,2751.71436,,,,
2024-06-24T16:20:54-03:00,12,19.04000,721.21002,191,45.63668,,2652.00000,2751.87622,,,,
2024-06-24T16:21:28-03:00,13,19.03000,721.20001,187,45.46120,,2643.00000,2751.99170,,,,
2024-06-24T16:21:59-03:00,14,19.02000,721.19000,187,45.37728,,2649.00000,2752.08228,,,,
2024-06-24T16:22:30-03:00,15,19.02000,721.17999,182,45.20943,,2642.00000,2752.16211,,,,
2024-06-24T16:23:01-03:00,16,19.02000,721.17999,181,45.07362,,2642.00000,2752.14429,,,,
2024-06-24T16:23:32-03:00,17,19.02000,721.19000,180,44.98360,,2645.00000,2752.04248,,,,
2024-06-24T16:24:03-03:00,18,19.67000,721.91998,179,44.46784,,2651.00000,2744.08252,,,,
2024-06-24T16:25:18-03:00,19,20.55000,722.91998,213,37.61196,,2654.00000,2733.14575,,,,
2024-06-24T16:25:50-03:00,20,20.57000,722.94000,208,39.84283,,2649.00000,2732.87085,,,,
2024-06-24T16:26:21-03:00,21,20.60000,722.96002,203,41.15664,,2643.00000,2732.64160,,,,
2024-06-24T16:26:52-03:00,22,20.62000,722.98999,210,41.84939,,2653.00000,2732.30615,,,,
2024-06-24T16:27:23-03:00,23,20.62000,722.97998,220,42.15000,,2648.00000,2732.42139,,,,
2024-06-24T16:27:53-03:00,24,20.66000,723.03998,224,42.27512,,2649.00000,2731.74658,,,,
